compr	T_lin	CH2O_lin	CO_lin	CO2_lin	H_lin	H2_lin	H2O_lin	H2O2_lin	HCO_lin	HO2_lin	O_lin	O2_lin	OH_lin	T_knn	CH2O_knn	CO_knn	CO2_knn	H_knn	H2_knn	H2O_knn	H2O2_knn	HCO_knn	HO2_knn	O_knn	O2_knn	OH_knn	T_down	CH2O_down	CO_down	CO2_down	H_down	H2_down	H2O_down	H2O2_down	HCO_down	HO2_down	O_down	O2_down	OH_down
1037.1	0.0054125	0.00010042	0.004194	0.0044258	0.0082223	0.0049874	0.0087434	0.019008	0.0086562	0.015983	0.015651	0.0088046	0.0067557	0.01279	0.00011588	0.013532	0.012664	0.021188	0.012282	0.017573	0.021988	0.011606	0.01598	0.042041	0.022891	0.021895	0.011235	0.00011135	0.011323	0.011507	0.016547	0.012006	0.01802	0.026273	0.013621	0.022517	0.0313	0.019712	0.01782
253.06	0.0013605	0.000041303	0.00074451	0.00079562	0.0022033	0.00098589	0.0017666	0.0079537	0.0026724	0.0065888	0.0052131	0.0016238	0.0010763	0.0018909	0.000033159	0.0017053	0.0015719	0.0029533	0.0018895	0.0019866	0.0073279	0.0023141	0.0052937	0.016204	0.0023339	0.0020677	0.0034399	0.000090379	0.0031017	0.0032405	0.0063555	0.0033336	0.0060627	0.014739	0.0080014	0.014355	0.011783	0.0060644	0.0053737
154.33	0.00097484	0.000026609	0.00047546	0.00050186	0.0015317	0.00056529	0.00106	0.0057906	0.0015987	0.0044224	0.0039473	0.00097249	0.00061539	0.0012162	0.000022286	0.0010287	0.00092441	0.0018394	0.0010823	0.001028	0.0053462	0.0013828	0.0035818	0.011492	0.0012546	0.0011212	0.0022198	0.000075779	0.0019112	0.0020273	0.0045624	0.0020312	0.0039784	0.011623	0.0062925	0.011987	0.008602	0.0039024	0.0034998
101.05	0.00078635	0.000017978	0.00033511	0.0003444	0.0012136	0.00042898	0.00070412	0.0045069	0.0010654	0.0031767	0.0033972	0.00063145	0.00035973	0.00092375	0.000016531	0.00071396	0.00060809	0.0015008	0.00077766	0.00068224	0.0042525	0.00095845	0.0026544	0.010456	0.00084141	0.00066031	0.0015403	0.000067861	0.0012475	0.0013079	0.0029566	0.0013473	0.0028061	0.0093462	0.0050948	0.0098794	0.005549	0.0026629	0.0022691
68.836	0.00069675	0.000014291	0.00028368	0.00028511	0.0010563	0.00034928	0.0005317	0.0037132	0.00077924	0.0024139	0.0032005	0.00047609	0.00025394	0.00076588	0.000013663	0.00055786	0.00045855	0.0013158	0.00059044	0.0004924	0.0034808	0.00072347	0.0020514	0.0099514	0.0006155	0.00043611	0.0010759	0.000060364	0.00084948	0.00089408	0.0021876	0.00091401	0.0019758	0.0076769	0.0041453	0.008446	0.0040927	0.0018473	0.0015709
49.126	0.00061679	0.000010671	0.00024508	0.00024033	0.00096017	0.00030554	0.00040865	0.0031038	0.00061032	0.0018147	0.0030519	0.00037291	0.00019866	0.00068966	0.000010669	0.00047888	0.00038407	0.0011217	0.0005058	0.00041818	0.003005	0.00061366	0.0016617	0.009015	0.00054496	0.00033826	0.00076307	0.000054523	0.00058205	0.00061671	0.0016675	0.00064031	0.0013986	0.006425	0.0034566	0.0072111	0.0031077	0.00129	0.0011217
28.62	0.00057335	6.9182E-006	0.00022166	0.00021744	0.00088303	0.00027866	0.00032958	0.0024667	0.00048866	0.0013036	0.0029836	0.00030237	0.00015874	0.00063136	7.3864E-006	0.00041819	0.0003231	0.0010341	0.00042497	0.00036012	0.0025335	0.00052435	0.001308	0.0087736	0.00048037	0.00026481	0.0004276	0.000043759	0.00031275	0.00033229	0.00092169	0.00035072	0.00079444	0.0045346	0.002422	0.0053309	0.0017493	0.00071894	0.00061656
20.057	0.00055743	5.4007E-006	0.00021613	0.00020674	0.00086058	0.00026823	0.00030329	0.0021922	0.00045266	0.0010908	0.0029868	0.00027783	0.00014419	0.00061506	6.0688E-006	0.00037787	0.00029347	0.0010227	0.00039062	0.00034526	0.0023334	0.00049837	0.0011701	0.0084344	0.00042677	0.00023124	0.00030369	0.000036993	0.00021264	0.00022459	0.00067799	0.00023833	0.00055644	0.0036908	0.0019565	0.0045313	0.0012776	0.00049586	0.00042618
8.9689	0.00053761	3.5026E-006	0.000207	0.00019732	0.00082827	0.00026554	0.00027986	0.0019159	0.00041655	0.00084676	0.0029754	0.00025935	0.00013116	0.00059492	3.9044E-006	0.00033912	0.00026246	0.00097379	0.00035232	0.00033033	0.0020699	0.00047451	0.00096433	0.0084068	0.00042309	0.00020341	0.00013233	0.000024917	0.000088342	0.000093687	0.00030188	0.00010099	0.0002411	0.0021284	0.0011313	0.0028607	0.00057361	0.00021043	0.00018439
7.6307	0.0005383	3.1708E-006	0.00020761	0.00019756	0.00082709	0.00026769	0.00027918	0.0019077	0.00041173	0.00081541	0.0029906	0.00025892	0.00012962	0.00059612	3.4489E-006	0.00033707	0.00026049	0.00096725	0.00034943	0.00033068	0.0020571	0.00047144	0.0009371	0.0084313	0.00042353	0.00020121	0.00011139	0.000024385	0.000073423	0.000077854	0.00025809	0.000085238	0.0002022	0.0019031	0.0010085	0.0025995	0.00049028	0.00017598	0.00015408
