1	1.01e-08	155468	1186
2	2.0301e-08	12914	1192
3	3.0604e-08	12930	1210
4	4.10101e-08	12226	1223
5	5.15202e-08	12366	1232
6	6.21354e-08	12243	1227
7	7.28567e-08	12277	1240
8	8.36853e-08	12412	1237
9	9.46221e-08	12484	1232
10	1.05668e-07	12696	1240
11	1.16825e-07	12296	1240
12	1.28093e-07	12267	1232
13	1.39474e-07	12299	1231
14	1.50969e-07	12650	1250
15	1.62579e-07	12312	1237
16	1.74304e-07	12507	1245
17	1.86147e-07	12252	1260
18	1.98109e-07	12271	1272
19	2.1019e-07	12268	1246
20	2.22392e-07	12273	1252
21	2.34716e-07	12538	1246
22	2.47163e-07	12473	1259
23	2.59735e-07	12838	1266
24	2.72432e-07	12466	1258
25	2.85256e-07	12532	1236
26	2.98209e-07	12287	1258
27	3.11291e-07	12259	1254
28	3.24504e-07	12280	1249
29	3.37849e-07	12276	1260
30	3.51327e-07	12683	1255
31	3.64941e-07	13000	1253
32	3.7869e-07	12397	1237
33	3.92577e-07	12292	1264
34	4.06603e-07	12300	1242
35	4.20769e-07	12285	1270
36	4.35076e-07	12586	1248
37	4.49527e-07	12678	1295
38	4.64123e-07	12396	1234
39	4.78772e-07	12260	1239
40	4.93436e-07	12276	1223
41	5.08118e-07	12306	1235
42	5.22825e-07	12280	1236
43	5.37523e-07	12528	1239
44	5.52211e-07	12685	1244
45	5.66895e-07	13369	1251
46	5.8158e-07	12868	1243
47	5.9627e-07	12270	1245
48	6.10971e-07	12327	1274
49	6.25687e-07	12256	1256
50	6.40424e-07	12279	1257
51	6.55186e-07	12431	1251
52	6.69937e-07	12280	1275
53	6.84682e-07	13109	1281
54	6.99424e-07	12302	1243
55	7.14169e-07	12288	1244
56	7.28921e-07	12314	1235
57	7.43686e-07	12460	1243
58	7.5845e-07	12437	1246
59	7.73209e-07	12619	1242
60	7.87968e-07	12284	1276
61	8.02733e-07	12318	1254
62	8.17511e-07	12288	1253
63	8.32307e-07	12305	1240
64	8.47117e-07	12279	1255
65	8.61908e-07	12454	1235
66	8.76685e-07	13098	1287
67	8.91454e-07	12629	1259
68	9.06221e-07	12589	1261
69	9.20991e-07	12304	1256
70	9.3577e-07	12280	1243
71	9.50563e-07	12326	1238
72	9.65377e-07	12291	1258
73	9.80197e-07	12610	1229
74	9.95001e-07	12386	1231
75	1.0098e-06	12736	1254
76	1.02458e-06	12297	1258
77	1.03937e-06	12349	1219
78	1.05417e-06	12292	1247
79	1.06898e-06	12490	1275
80	1.0838e-06	12308	1245
81	1.09865e-06	12952	1264
