compr	HCO_lin	H2O2_lin	CO2_lin	HCO_knn	H2O2_knn	CO2_knn	HCO_down	H2O2_down	CO2_down
3815.92962962963	0.0019751874097204	0.0273164397644981	0.076568636435996	0.0284182910774093	0.0544883933604484	2.80997557221347	0.00520863735958526	0.0388704802117708	0.126282832020312
1030.301	0.000999578733875771	0.0226351381617466	0.048795301584037	0.00135558979370526	0.0246260843282612	0.0720854532348061	0.00268289046015789	0.0299759609438276	0.0786174686041767
720.49020979021	0.00098127007109089	0.0224422385070297	0.0473523929469917	0.00122360464699806	0.0237777927928634	0.0829994090702535	0.00288651369245198	0.0282047748421457	0.0737185554526666
470.457077625571	0.000624079401069474	0.0217270964463257	0.045397542486244	0.000783540999515086	0.0222245742514252	0.0497487172093477	0.00296357672810927	0.0266514802452118	0.06631475486936
331.286495176849	0.000430470637932925	0.0211283951593995	0.043536543019288	0.000461274869719009	0.0215925056375713	0.045117987293791	0.00165156741213562	0.0244477123456375	0.0652971790142556
228.955777777778	0.000342820700370363	0.0208877411503757	0.0427516625658769	0.000359543861958935	0.0211198453454318	0.0464092749919539	0.00160686941741856	0.0254360749901128	0.0628710820573164
131.08155216285	0.000223891311210275	0.0205535571170668	0.0420481224091448	0.000247202181506708	0.0206718246795992	0.0440269428138014	0.00147805386520531	0.0238150945487594	0.0545311751965723
96.2898130841122	0.000210374137475778	0.0204953268184167	0.0418126946803847	0.000224231055685728	0.0205645547006945	0.0431801173387859	0.00192112434559545	0.0236371108053517	0.0518852094480049
56.3313832695462	0.000156858078582706	0.0203508880473378	0.0414828697097771	0.000177879029062601	0.0204015852080588	0.0426551646058737	0.00112289832110249	0.0222881576333891	0.0480677574196563
55.6919459459459	0.00015563789325897	0.0203455905217249	0.0414811594129953	0.000174914962820771	0.0203932684051	0.0426533927423626	0.00112298579712148	0.0222885143920759	0.0480704249725161
