compr	T	CH2O	CO	CO2	H	H2	H2O	H2O2	HCO	HO2	O	O2	OH
10	0.000000020163	0.000000000015095	0.000000025114	0.0000000043959	0.000000000091513	0.0000000097612	0.0000000016654	0.0000000013872	0.000000000041746	0.00000000068086	0.000000000252	0.000000037867	0.00000000095553
20	0.00000042057	0.0000000058861	0.000000049965	0.00000005494	0.000000004373	0.00000016977	0.000000047364	0.00000017869	0.0000000072017	0.00000012899	0.0000000075322	0.000000061546	0.0000000074668
50	0.0000058001	0.0000014919	0.0000036635	0.0000040592	0.0000016447	0.0000045655	0.0000049744	0.000030294	0.0000051332	0.000019802	0.0000024361	0.0000049472	0.0000021121
100	0.000037084	0.000018455	0.000032004	0.000033714	0.000024332	0.000041099	0.000042091	0.00029813	0.000094168	0.00024615	0.000035588	0.000043662	0.000029147
200	0.00016264	0.00009307	0.0001334	0.00014402	0.00015641	0.00018056	0.00020556	0.0014086	0.00059237	0.0013879	0.00022221	0.00019006	0.0001591
500	0.00068273	0.00040375	0.000503	0.00052736	0.00088975	0.0006686	0.00085288	0.0052691	0.00297	0.0055648	0.0012299	0.00081809	0.00072066
1000	0.0016875	0.00079426	0.0010955	0.0011395	0.0023451	0.001498	0.0019712	0.011323	0.0064068	0.012291	0.0032119	0.0017359	0.0015614
2000	0.0033186	0.0013359	0.0024458	0.0024626	0.0049362	0.0029489	0.0043191	0.019281	0.012168	0.020315	0.0068655	0.0039159	0.0033729
5000	0.0085119	0.0021687	0.0066631	0.0068047	0.013062	0.0070885	0.011453	0.031854	0.02165	0.032181	0.017988	0.010813	0.0093147
